project	total_target_errors	generated_patches	error_introducing_patches	resolving_patches	resolving_patches_and_no_new_errors	trigger_new_error_patches	remaining_errors	percentage_error_reduction	total_test_failures	percentage_failed_tests_from_total_tests	total_execution_time_sec	avg_execution_time_sec	full_scaffold_execution_time_in_sec	total_agent_cycles	avg_agent_cycles	total_tokens	uncached_input_tokens	cached_input_tokens	completion_tokens	avg_tokens	avg_uncached_input_tokens	avg_cached_input_tokens	avg_completion_tokens	total_monetary_cost	avg_monetary_cost
conductor	25	25	2	23	20	3	2	92.0	38	8.715596330275229	2099.418	83.97672	2714.294	190	7.6	1022190	288055	689792	44343	40887.6	11522.2	27591.68	1773.72	0.88972275	0.03558891
eureka	24	23	1	22	21	1	2	91.66666666666666	5	4.310344827586207	2009.1159999999998	83.71316666666665	2412.197	214	8.916666666666666	1482971	357261	1071616	54094	61790.458333333336	14885.875	44650.666666666664	2253.9166666666665	1.12146825	0.04672784375
glide	87	83	1	82	68	14	7	91.95402298850574	6	0.11246485473289597	7339.613000000002	84.36336781609198	8368.225	749	8.60919540229885	4228556	1066828	3011840	149888	48604.09195402299	12262.3908045977	34618.85057471264	1722.8505747126437	3.208895	0.03688385057471264
gson	32	31	2	29	23	6	2	93.75	3	0.28355387523629494	2203.238	68.8511875	2525.589	282	8.8125	1807550	417057	1328512	61981	56485.9375	13033.03125	41516.0	1936.90625	1.3071952500000001	0.040849851562500004
jadx	117	108	6	102	80	22	31	73.50427350427351	628	83.62183754993342	15440.020000000002	131.9659829059829	18079.272	1217	10.401709401709402	9450847	1908029	7266688	276130	80776.47008547008	16307.940170940172	62108.444444444445	2360.08547008547	6.05467225	0.05174933547008547
libgdx	453	400	21	376	285	92	99	78.1456953642384	0	0.0	48837.80300000003	107.80971964679918	57266.22	4015	8.863134657836644	25665328	5434571	19420416	810341	56656.353200883	11996.845474613687	42870.67549668874	1788.832229580574	17.32417575000001	0.03824321357615896
litiengine	152	143	9	134	77	57	63	58.55263157894737	149	29.330708661417322	13208.494000000002	86.89798684210528	14352.401	1460	9.605263157894736	10058309	2016348	7736448	305513	66173.08552631579	13265.447368421053	50897.68421052631	2009.953947368421	6.5426210000000005	0.04304355921052632
mockito	36	33	5	28	20	8	10	72.22222222222221	0	0.0	2983.09	82.86361111111111	3380.013	341	9.472222222222221	2365729	474382	1815680	75667	65714.69444444444	13177.277777777777	50435.555555555555	2101.8611111111113	1.5766075000000004	0.04379465277777779
retrofit	13	11	1	10	8	2	1	92.3076923076923	0	0.0	1034.428	79.57138461538463	1177.818	159	12.23076923076923	1020367	165027	825088	30252	78489.76923076923	12694.384615384615	63468.307692307695	2327.076923076923	0.61193975	0.047072288461538464
spring-boot	84	82	7	75	62	13	15	82.14285714285714	403	10.28061224489796	17343.266999999996	206.46746428571424	20380.116	758	9.023809523809524	4487531	999048	3308160	180323	53422.98809523809	11893.42857142857	39382.857142857145	2146.7023809523807	3.465559999999999	0.04125666666666666
wala-util	73	62	4	58	53	5	6	91.78082191780823	0	0.0	7442.348	101.94997260273972	8612.554	585	8.013698630136986	3651195	887935	2631296	131964	50016.3698630137	12163.493150684932	36045.150684931505	1807.7260273972602	2.7584707500000003	0.03778727054794521
zuul	23	22	2	20	19	1	3	86.95652173913044	1	0.29239766081871343	3150.9889999999996	136.99952173913042	3672.218	296	12.869565217391305	2239434	407090	1770368	61976	97366.69565217392	17699.565217391304	76972.52173913043	2694.608695652174	1.3499185	0.058692108695652175
total	1119	1023	61	959	736	224	241	78.46291331546024	1233	8.218356328734252	123091.82400000002	110.00163002680968	142940.91700000002	10266	9.17426273458445	67480007	14421631	50875904	2182472	60303.84897229669	12887.963360142985	45465.50848972297	1950.3771224307418	46.21124675000001	0.041296913985701525
