project	total_target_errors	generated_patches	error_introducing_patches	resolving_patches	resolving_patches_and_no_new_errors	trigger_new_error_patches	failing_test_patches	total_execution_time_sec	avg_execution_time_sec	full_scaffold_execution_time_in_sec	total_agent_cycles	avg_agent_cycles	total_tokens	avg_tokens	total_monetary_cost	avg_monetary_cost
conductor	25	24	4	20	16	4	1	3226.0530000000003	129.04212	4230.717	241	9.64	1966729	78669.16	3.327122	0.13308488000000002
eureka	24	24	1	23	18	5	1	1631.2950000000003	67.97062500000001	4403.364	174	7.25	231435	9643.125	0.8629239999999999	0.03595516666666666
glide	87	80	4	75	50	25	1	2790.2549999999997	32.07189655172414	5887.973	404	4.64367816091954	262445	3016.609195402299	1.1269930000000001	0.012953942528735633
gson	32	27	0	24	16	8	2	1075.2839999999997	33.60262499999999	1415.386	116	3.625	133717	4178.65625	0.46775	0.0146171875
mockito	36	36	5	31	20	11	2	1638.2160000000003	45.50600000000001	4994.283	188	5.222222222222222	198114	5503.166666666667	0.6836869999999998	0.01899130555555555
retrofit	13	13	0	13	9	4	0	510.3810000000001	39.26007692307693	868.467	28	2.1538461538461537	43415	3339.6153846153848	0.19169599999999998	0.014745846153846153
wala-util	73	50	7	43	28	15	0	3852.224	52.77019178082192	4622.026	1421	19.465753424657535	550143	7536.2054794520545	1.9769050000000001	0.027080890410958906
zuul	23	23	2	21	18	3	0	755.7470000000001	32.85856521739131	2900.018	100	4.3478260869565215	82777	3599.0	0.320738	0.01394513043478261
total	313	277	23	250	175	75	7	15479.455	49.455127795527154	29322.234	2672	8.536741214057509	3468775	11082.348242811502	8.957815	0.028619217252396165
