ID	TYPE	Message	EXPRESSION	PATH	HASH
50	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.parentMap;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/Layer.java:157	ae000aea2188777c371acc653c2154b1f12e0895
51	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields transparentcolor (line 20), absolutePath (line 28) are initialized along all control-flow paths (remember to check for exceptions or early returns).	  public MapImage() {	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/MapImage.java:30	05c7883ddd485e9f224a1682bc9ac444dec70d4c
52	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields transparentcolor (line 20), absolutePath (line 28) are initialized along all control-flow paths (remember to check for exceptions or early returns).	  public MapImage(MapImage original) {	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/MapImage.java:39	d730b72f28402f671e550cd7d097c0bd25db346b
53	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.layer;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/MapObject.java:368	6ccfd69aa3d78ca4fc169e0b7d44a80321ec359f
54	WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method de.gurkenlabs.litiengine.environment.tilemap.IMapObject.getPolygon() returns @NonNull	  @Nullable	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/MapObject.java:209	50738b86e5920aac0ba25df432b86fe17fed5d19
55	UNBOX_NULLABLE	unboxing of a @Nullable value - this.x	      return this.x - map.getChunkOffsetX() * map.getTileWidth();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/MapObject.java:328	f5aa82eba330dbe9fc520a05d990c63a0212b566
56	UNBOX_NULLABLE	unboxing of a @Nullable value - this.y	      return this.y - map.getChunkOffsetY() * map.getTileHeight();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/MapObject.java:338	3b7a707cbb5200ab842b8ff6a71101fed5bd2e1a
57	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.tilesetEntry;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/Tile.java:164	97cdf7020b2d562e6c7bb298b6eeb6995ec09371
58	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.frames;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/TileAnimation.java:21	c2f8254ad0d619d2691d0b37bcc03f6689f8258f
59	DEREFERENCE_NULLABLE	dereferenced expression value is @Nullable	    String enc = value.trim();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/TileData.java:289	19e8e7c9f076b6c68eb6521ad4e153b63895a2a5
60	DEREFERENCE_NULLABLE	dereferenced expression value is @Nullable	    String[] csvTileIds = value.trim().split("[\\\\s]*,[\\\\s]*");	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/TileData.java:347	6a4b5e90fe643b31932b549c7ae7aa5b1b7b2491
61	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields encoding (line 59), chunks (line 69) are initialized along all control-flow paths (remember to check for exceptions or early returns).	  @Initializer	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/TileData.java:146	5fb7f97e875dca7261a2b12d625d585b1be3d9be
62	DEREFERENCE_NULLABLE	dereferenced expression this.data is @Nullable	    return this.data.getTiles();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/TileLayer.java:111	6d8bc1b37b6e1515ba9f73a7d3f7c272806ed629
63	DEREFERENCE_NULLABLE	dereferenced expression x.getTileCoordinate() is @Nullable	        this.getTiles().stream().filter(x -> x.getTileCoordinate().equals(location)).findFirst();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/TileLayer.java:41	fe068c6c0f82b8239e1fdf82257188f9d57772b3
64	DEREFERENCE_NULLABLE	dereferenced expression this.allTiles is @Nullable	    TilesetEntry tile = this.allTiles.get(tileId);	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/Tileset.java:225	a1de61f38189b37ac14a9ff7abca52d7c6797409
65	DEREFERENCE_NULLABLE	dereferenced expression this.allTiles is @Nullable	    return this.allTiles.get(id);	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/Tileset.java:274	123618ef940151b8b9976756f634aaecf3185be5
66	METHOD_NO_INIT	initializer method does not guarantee @NonNull field tileset (line 23) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  public TilesetEntry() {}	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/TilesetEntry.java:41	8eeed5d22cc7af1cf8a5e18587c9d5e53e491d3d
67	DEREFERENCE_NULLABLE	dereferenced expression this.tileset\n        .getSpritesheet() is @Nullable	    return this.tileset	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/TilesetEntry.java:90	6da3aba9dfd501061e25d39143f4a187320f5bde
68	DEREFERENCE_NULLABLE	dereferenced expression this.tileset.getTile(this.animation.getCurrentFrame().getTileId()) is @Nullable	    return this.tileset.getTile(this.animation.getCurrentFrame().getTileId()).getBasicImage();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/TilesetEntry.java:81	7cda8edc4d224dcdb5404f05faf3413fd988a8d9
69	WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method de.gurkenlabs.litiengine.environment.tilemap.ITilesetEntry.getImage() returns @NonNull	  @Nullable	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/TilesetEntry.java:75	f8bd51e6d604b4f5248b47733e338b776685fa51
70	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields renderorder (line 59), hexsidelength (line 71), nextLayerId (line 82), nextObjectId (line 85) are initialized along all control-flow paths (remember to check for exceptions or early returns).	  @Initializer	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/TmxMap.java:473	ab29dd6e3403bdd400e6c076e3271820b63a84f2
71	DEREFERENCE_NULLABLE	dereferenced expression lightShape is @Nullable	        lightShape.getBounds2D().getWidth() > lightShape.getBounds2D().getHeight()	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/graphics/AmbientLight.java:179	50b39cb9d76723d5e182bafe666a1a7446268a42
72	PASS_NULLABLE	passing @Nullable parameter 'focus' where @NonNull is required	    this.focus = this.clampToMap(focus);	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/graphics/Camera.java:138	d5f764c12f224227716d57af1e510260c2be7774
73	DEREFERENCE_NULLABLE	dereferenced expression this.targetFocus is @Nullable	                this.focus.getX() * diff + this.targetFocus.getX() * (1.0 - diff),	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/graphics/Camera.java:230	bc5f218f9f84a5c4b90214f6495d46ff8164fc09
74	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.color;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/graphics/ColorLayer.java:36	3ad9e19e85a161d840520b5a9e9d7abc481afcb5
75	DEREFERENCE_NULLABLE	dereferenced expression this.layer is @Nullable	    final Graphics2D g = this.layer.createGraphics();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/graphics/ColorLayer.java:65	4ac483382e2d62fe818ea472a5188f5bb5c76267
76	DEREFERENCE_NULLABLE	dereferenced expression buffer is @Nullable	    final Graphics2D graphics = buffer.createGraphics();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/graphics/CreatureShadowImageEffect.java:70	92fb5108ddf0bf0a1a2f4971264c7ced4882eba7
77	DEREFERENCE_NULLABLE	dereferenced expression debugCursorImg is @Nullable	    Graphics2D g = debugCursorImg.createGraphics();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/graphics/MouseCursor.java:45	8a6e4fa5e66584f25227c4a9e94200e0b1b32232
